,job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,skill1,skill2,skill3,skill4,skill5
10,AI00011,Autonomous Systems Engineer,102322,USD,Senior Level,Part-time,Sweden,Medium Company,Sweden,Full Remote,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,9.9,Smart Analytics,MLOps,Python,SQL,Not required,Not required
11,AI00012,AI Architect,115047,USD,Executive,Contract,South Korea,Small Company,South Korea,No Remote,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,513,6.8,TechCorp Inc,R,Data Visualization,Python,Azure,Not required
12,AI00013,AI Consultant,124355,EUR,Senior Level,Contract,France,Medium Company,France,Full Remote,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,760,5.2,Predictive Systems,Tableau,Python,TensorFlow,Not required,Not required
13,AI00014,Autonomous Systems Engineer,68760,USD,Entry Level,Contract,Norway,Small Company,Norway,No Remote,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,1657,9.1,Cloud AI Solutions,Scala,SQL,Statistics,Not required,Not required
14,AI00015,AI Research Scientist,150122,USD,Senior Level,Full-time,Sweden,Medium Company,Sweden,Full Remote,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,1466,9.8,Advanced Robotics,PyTorch,Python,Data Visualization,GCP,Not required
15,AI00016,AI Product Manager,78846,GBP,Entry Level,Part-time,United Kingdom,Large Company,Israel,No Remote,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2059,9.6,DataVision Ltd,Linux,Statistics,Deep Learning,Not required,Not required
16,AI00017,Principal Data Scientist,59823,USD,Entry Level,Full-time,India,Large Company,India,Full Remote,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,5.8,Predictive Systems,Tableau,NLP,Spark,Not required,Not required
17,AI00018,Machine Learning Engineer,181139,EUR,Executive,Contract,France,Large Company,France,Full Remote,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,2142,8.7,AI Innovations,MLOps,PyTorch,Azure,Not required,Not required
18,AI00019,Data Engineer,155300,USD,Senior Level,Contract,Singapore,Medium Company,Singapore,No Remote,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions,Git,Hadoop,R,Python,Spark
19,AI00020,Research Scientist,93851,EUR,Mid-Senior Level,Part-time,Netherlands,Large Company,Germany,Full Remote,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,6.7,AI Innovations,Java,Scala,NLP,Docker,Computer Vision
20,AI00021,Data Engineer,134197,USD,Mid-Senior Level,Full-time,Norway,Medium Company,France,No Remote,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,9.6,AI Innovations,Deep Learning,AWS,Azure,Not required,Not required
21,AI00022,Autonomous Systems Engineer,102550,USD,Mid-Senior Level,Part-time,United States,Medium Company,United States,No Remote,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,625,10.0,Cognitive Computing,Tableau,Spark,NLP,TensorFlow,PyTorch
22,AI00023,ML Ops Engineer,99382,EUR,Senior Level,Contract,Germany,Small Company,Germany,No Remote,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc,Hadoop,Git,Tableau,Not required,Not required
23,AI00024,AI Product Manager,52167,USD,Mid-Senior Level,Full-time,Austria,Medium Company,Ireland,Full Remote,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,9.3,Cloud AI Solutions,Git,Hadoop,Docker,Not required,Not required
24,AI00025,ML Ops Engineer,53923,USD,Mid-Senior Level,Full-time,China,Small Company,China,No Remote,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,7.4,AI Innovations,AWS,Azure,Git,SQL,Computer Vision
25,AI00026,Robotics Engineer,109779,USD,Senior Level,Part-time,Israel,Large Company,Israel,Full Remote,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,8.8,DataVision Ltd,Linux,Git,Tableau,Kubernetes,Data Visualization
26,AI00027,ML Ops Engineer,80979,USD,Mid-Senior Level,Contract,Australia,Small Company,India,Hybrid,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7.7,TechCorp Inc,Hadoop,Linux,Git,Scala,Not required
27,AI00028,Data Analyst,52997,USD,Mid-Senior Level,Part-time,Austria,Medium Company,Singapore,No Remote,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,2101,8.6,Predictive Systems,Mathematics,Kubernetes,TensorFlow,Tableau,PyTorch
28,AI00029,Head of AI,42819,USD,Entry Level,Contract,Ireland,Medium Company,Ireland,Hybrid,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing,Python,Scala,NLP,Mathematics,Git
29,AI00030,ML Ops Engineer,82083,USD,Mid-Senior Level,Contract,Israel,Large Company,Israel,Full Remote,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,1212,6.3,Future Systems,Azure,Python,Computer Vision,Kubernetes,TensorFlow
30,AI00031,Head of AI,67488,EUR,Entry Level,Full-time,Netherlands,Medium Company,Netherlands,Full Remote,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,887,6.0,Advanced Robotics,Deep Learning,GCP,AWS,Linux,Tableau
31,AI00032,Research Scientist,68624,USD,Entry Level,Full-time,Denmark,Medium Company,Denmark,No Remote,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,2024-03-08,1910,9.2,Cloud AI Solutions,Azure,Python,Spark,Not required,Not required
32,AI00033,Robotics Engineer,146852,USD,Senior Level,Full-time,Switzerland,Small Company,Switzerland,Hybrid,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,2024-09-20,684,5.3,Cognitive Computing,NLP,Scala,Python,Not required,Not required
33,AI00034,ML Ops Engineer,178183,USD,Executive,Freelance,Finland,Medium Company,Finland,No Remote,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-03-01,2024-03-19,1850,5.7,Predictive Systems,Tableau,Azure,GCP,Linux,Python
34,AI00035,Deep Learning Engineer,150864,USD,Senior Level,Freelance,Sweden,Large Company,Singapore,No Remote,"R, GCP, MLOps, Linux",PhD,8,Consulting,2024-10-26,2024-12-25,1504,7.9,Smart Analytics,R,GCP,MLOps,Linux,Not required
35,AI00036,Head of AI,126942,USD,Executive,Contract,Finland,Large Company,Netherlands,No Remote,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,2024-02-26,1261,9.9,Autonomous Tech,Git,Hadoop,Data Visualization,Not required,Not required
36,AI00037,AI Architect,53752,USD,Mid-Senior Level,Part-time,Japan,Medium Company,Japan,Full Remote,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,2024-11-12,998,6.1,TechCorp Inc,Data Visualization,Tableau,AWS,Mathematics,Python
37,AI00038,Robotics Engineer,111381,USD,Executive,Contract,Israel,Small Company,Israel,No Remote,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,2024-03-12,1030,8.1,Autonomous Tech,Linux,PyTorch,SQL,Statistics,Not required
38,AI00039,AI Specialist,41430,USD,Entry Level,Part-time,China,Medium Company,China,Hybrid,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,2024-07-29,2323,8.0,Future Systems,Tableau,Docker,GCP,Not required,Not required
39,AI00040,Data Engineer,166080,EUR,Executive,Freelance,Netherlands,Large Company,Netherlands,Full Remote,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-03-01,2024-05-01,831,5.1,DeepTech Ventures,Computer Vision,Azure,Tableau,Not required,Not required
40,AI00041,Data Scientist,96956,USD,Mid-Senior Level,Full-time,United States,Medium Company,China,No Remote,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,2024-03-09,761,5.3,DataVision Ltd,Data Visualization,Azure,Spark,MLOps,Not required
41,AI00042,AI Architect,196954,USD,Senior Level,Freelance,United States,Large Company,United States,Hybrid,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025-04-16,2290,7.5,DataVision Ltd,Java,Mathematics,SQL,Not required,Not required
42,AI00043,AI Specialist,56745,USD,Entry Level,Part-time,Finland,Large Company,Finland,Full Remote,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025-04-11,502,5.5,Quantum Computing Inc,Spark,Mathematics,GCP,Not required,Not required
43,AI00044,Machine Learning Researcher,113455,USD,Senior Level,Full-time,Singapore,Medium Company,Singapore,Hybrid,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024-06-12,1281,8.0,AI Innovations,Hadoop,Docker,Python,Azure,Not required
44,AI00045,ML Ops Engineer,158808,EUR,Senior Level,Part-time,Netherlands,Medium Company,Netherlands,Hybrid,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025-05-03,1926,7.4,Future Systems,Docker,R,Linux,Not required,Not required
45,AI00046,AI Research Scientist,174663,USD,Senior Level,Contract,United States,Medium Company,Singapore,Hybrid,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024-03-22,1151,5.4,DeepTech Ventures,Data Visualization,Statistics,R,Not required,Not required
46,AI00047,AI Research Scientist,46753,USD,Entry Level,Contract,India,Small Company,India,Hybrid,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024-12-18,2012,9.7,Quantum Computing Inc,Scala,Java,Tableau,Not required,Not required
47,AI00048,AI Software Engineer,69020,USD,Mid-Senior Level,Freelance,China,Large Company,China,No Remote,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024-10-25,1584,8.8,TechCorp Inc,Java,Azure,GCP,Not required,Not required
48,AI00049,AI Specialist,288815,USD,Executive,Part-time,Switzerland,Small Company,Switzerland,No Remote,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,2024-09-23,1930,7.2,Cognitive Computing,Deep Learning,Git,Data Visualization,Linux,Java
49,AI00050,AI Consultant,124871,USD,Executive,Freelance,Austria,Medium Company,Finland,Hybrid,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025-05-17,1556,8.0,Autonomous Tech,Hadoop,AWS,Linux,Docker,Statistics
50,AI00051,AI Architect,70391,EUR,Mid-Senior Level,Full-time,Germany,Small Company,Germany,No Remote,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024-10-19,1974,9.2,TechCorp Inc,Deep Learning,SQL,Mathematics,Not required,Not required
51,AI00052,Research Scientist,115376,USD,Executive,Full-time,India,Medium Company,India,Full Remote,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024-04-14,2028,5.5,Autonomous Tech,Linux,R,Azure,Mathematics,Git
52,AI00053,Research Scientist,106579,USD,Mid-Senior Level,Part-time,United States,Small Company,United States,Full Remote,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,2024-05-02,2028,5.4,Cognitive Computing,Docker,Tableau,Mathematics,Not required,Not required
53,AI00054,Data Scientist,135230,USD,Senior Level,Part-time,Norway,Small Company,Norway,Full Remote,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024-09-09,1219,7.5,DataVision Ltd,R,PyTorch,Kubernetes,Computer Vision,Not required
54,AI00055,Research Scientist,67607,USD,Mid-Senior Level,Part-time,Israel,Small Company,Israel,Hybrid,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024-08-26,1714,8.6,Quantum Computing Inc,Python,Tableau,TensorFlow,AWS,Not required
55,AI00056,AI Architect,88470,USD,Mid-Senior Level,Part-time,Canada,Large Company,Canada,No Remote,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024-09-27,1528,9.1,Autonomous Tech,Azure,Kubernetes,TensorFlow,Statistics,Spark
56,AI00057,Autonomous Systems Engineer,79863,USD,Mid-Senior Level,Freelance,India,Large Company,India,Full Remote,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024-10-26,1325,5.6,Autonomous Tech,Python,Docker,GCP,Scala,Not required
57,AI00058,Machine Learning Engineer,60299,USD,Entry Level,Part-time,Israel,Large Company,Israel,Full Remote,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,2025-05-01,1872,6.6,Advanced Robotics,Git,Linux,Python,TensorFlow,Mathematics
58,AI00059,Machine Learning Engineer,85645,EUR,Mid-Senior Level,Full-time,Germany,Medium Company,Germany,No Remote,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024-03-06,793,7.9,AI Innovations,PyTorch,Computer Vision,R,Not required,Not required
59,AI00060,AI Software Engineer,110222,GBP,Senior Level,Freelance,United Kingdom,Small Company,France,No Remote,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024-05-05,1945,9.0,TechCorp Inc,R,Spark,AWS,Not required,Not required
60,AI00061,Data Scientist,49365,USD,Entry Level,Full-time,China,Medium Company,China,No Remote,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024-08-14,1907,10.0,Predictive Systems,Tableau,NLP,Azure,Statistics,PyTorch
61,AI00062,Data Scientist,162296,USD,Senior Level,Part-time,Norway,Small Company,Norway,Hybrid,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024-07-01,1714,6.2,Neural Networks Co,TensorFlow,Azure,Computer Vision,Data Visualization,Not required
62,AI00063,AI Consultant,102382,USD,Mid-Senior Level,Part-time,Switzerland,Medium Company,Switzerland,No Remote,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024-06-03,2199,5.8,Smart Analytics,TensorFlow,Scala,Docker,Statistics,Not required
63,AI00064,AI Software Engineer,99972,USD,Mid-Senior Level,Part-time,Australia,Medium Company,Canada,Hybrid,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,2024-03-15,799,6.5,Cloud AI Solutions,Java,R,Deep Learning,NLP,Azure
64,AI00065,Data Engineer,64129,USD,Entry Level,Contract,South Korea,Large Company,South Korea,No Remote,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,909,7.1,Machine Intelligence Group,Java,Git,Deep Learning,Not required,Not required
65,AI00066,AI Specialist,87938,USD,Senior Level,Full-time,Ireland,Small Company,Ireland,Full Remote,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2025-02-12,508,8.1,Machine Intelligence Group,Mathematics,Spark,Python,AWS,Not required
66,AI00067,Autonomous Systems Engineer,71405,USD,Mid-Senior Level,Freelance,Israel,Large Company,Israel,No Remote,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024-10-29,1153,9.5,Advanced Robotics,SQL,Java,MLOps,Linux,PyTorch
67,AI00068,Machine Learning Engineer,316182,USD,Executive,Part-time,Denmark,Medium Company,Canada,No Remote,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-02-09,2025-02-23,2452,7.0,Digital Transformation LLC,Python,Scala,Statistics,Git,Not required
68,AI00069,Machine Learning Researcher,72459,EUR,Entry Level,Part-time,Germany,Medium Company,Germany,Full Remote,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024-09-15,583,9.6,Quantum Computing Inc,Hadoop,Python,Kubernetes,Azure,Not required
69,AI00070,Principal Data Scientist,78338,EUR,Mid-Senior Level,Full-time,France,Large Company,France,Full Remote,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024-12-15,548,8.7,Cognitive Computing,MLOps,Kubernetes,Git,Python,Not required
70,AI00071,NLP Engineer,51907,USD,Mid-Senior Level,Freelance,Israel,Medium Company,Singapore,Full Remote,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024-04-02,912,8.2,Neural Networks Co,AWS,Kubernetes,Azure,Not required,Not required
71,AI00072,Autonomous Systems Engineer,122831,EUR,Senior Level,Freelance,France,Small Company,France,Full Remote,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024-06-19,761,8.4,Algorithmic Solutions,PyTorch,Kubernetes,Git,SQL,Not required
72,AI00073,Machine Learning Researcher,124820,USD,Mid-Senior Level,Freelance,Norway,Small Company,Norway,Hybrid,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024-10-01,2077,9.9,Cognitive Computing,NLP,Azure,Statistics,Spark,Mathematics
73,AI00074,Autonomous Systems Engineer,134200,GBP,Senior Level,Part-time,United Kingdom,Small Company,United Kingdom,Hybrid,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2025-01-09,2396,7.8,Machine Intelligence Group,Linux,R,Tableau,Not required,Not required
74,AI00075,Data Engineer,51920,USD,Entry Level,Part-time,Sweden,Small Company,Finland,Full Remote,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025-05-13,1778,7.9,Digital Transformation LLC,Scala,R,Tableau,Data Visualization,Not required
75,AI00076,Data Engineer,56427,USD,Entry Level,Freelance,Singapore,Medium Company,Singapore,Full Remote,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2025-01-25,1366,5.2,DeepTech Ventures,Mathematics,Kubernetes,Spark,Not required,Not required
76,AI00077,AI Product Manager,213783,USD,Executive,Full-time,Canada,Small Company,Canada,Full Remote,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024-10-06,2383,9.2,Quantum Computing Inc,Kubernetes,Spark,Statistics,Scala,Not required
77,AI00078,ML Ops Engineer,59728,USD,Mid-Senior Level,Freelance,Israel,Medium Company,Israel,Hybrid,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,1350,7.5,DataVision Ltd,MLOps,SQL,Statistics,Not required,Not required
78,AI00079,Computer Vision Engineer,119432,USD,Senior Level,Contract,India,Large Company,India,No Remote,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024-06-08,1008,6.3,Autonomous Tech,Scala,MLOps,NLP,Not required,Not required
79,AI00080,AI Research Scientist,284486,USD,Executive,Contract,United States,Medium Company,United States,No Remote,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,2025-03-10,2231,7.0,TechCorp Inc,PyTorch,Linux,SQL,Not required,Not required
80,AI00081,Data Analyst,157597,EUR,Executive,Contract,France,Large Company,France,Hybrid,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,639,8.4,Neural Networks Co,Git,Kubernetes,TensorFlow,R,Java
81,AI00082,ML Ops Engineer,196942,USD,Executive,Contract,Australia,Large Company,Australia,Full Remote,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024-04-16,826,7.5,TechCorp Inc,R,Tableau,SQL,MLOps,Docker
82,AI00083,Machine Learning Researcher,207548,USD,Executive,Contract,Canada,Medium Company,Canada,No Remote,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024-03-11,2292,6.7,Cognitive Computing,NLP,Azure,Spark,Data Visualization,Not required
83,AI00084,NLP Engineer,68838,USD,Mid-Senior Level,Freelance,Sweden,Small Company,Sweden,Hybrid,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024-08-12,804,7.4,TechCorp Inc,Java,SQL,Spark,Tableau,Azure
84,AI00085,ML Ops Engineer,125666,USD,Executive,Freelance,Finland,Large Company,Finland,Full Remote,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024-08-22,757,8.4,TechCorp Inc,Docker,Python,Git,Kubernetes,Java
85,AI00086,NLP Engineer,73174,USD,Entry Level,Full-time,Denmark,Medium Company,Denmark,Hybrid,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024-09-08,678,6.4,Machine Intelligence Group,Git,MLOps,Hadoop,Python,Spark
86,AI00087,Autonomous Systems Engineer,33314,USD,Entry Level,Contract,Israel,Small Company,India,Hybrid,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1207,8.3,Future Systems,SQL,Kubernetes,Docker,Not required,Not required
87,AI00088,AI Specialist,69914,USD,Entry Level,Full-time,United States,Small Company,United States,Full Remote,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025-04-15,1517,7.0,Smart Analytics,R,NLP,SQL,GCP,Not required
88,AI00089,Principal Data Scientist,152118,EUR,Executive,Freelance,France,Medium Company,France,Hybrid,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024-07-14,1294,6.9,AI Innovations,Spark,SQL,Python,Mathematics,Linux
89,AI00090,AI Software Engineer,78014,EUR,Entry Level,Contract,France,Large Company,France,Hybrid,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024-12-07,841,6.8,Digital Transformation LLC,PyTorch,Hadoop,Scala,Computer Vision,Not required
90,AI00091,Research Scientist,48466,USD,Entry Level,Part-time,Canada,Small Company,Canada,Full Remote,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025-05-14,1146,5.7,Predictive Systems,Hadoop,Spark,Kubernetes,Python,Not required
91,AI00092,Data Analyst,97997,EUR,Senior Level,Contract,France,Small Company,France,Hybrid,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,2024-07-16,2419,6.0,Algorithmic Solutions,Hadoop,Python,TensorFlow,R,Statistics
92,AI00093,Principal Data Scientist,128341,USD,Senior Level,Freelance,Singapore,Small Company,Singapore,No Remote,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025-06-15,2457,6.9,Neural Networks Co,Computer Vision,PyTorch,GCP,Linux,Not required
93,AI00094,AI Research Scientist,111528,USD,Mid-Senior Level,Freelance,United States,Large Company,United States,No Remote,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-03-01,2024-05-08,1299,9.5,Predictive Systems,Java,Hadoop,Mathematics,Not required,Not required
94,AI00095,Machine Learning Researcher,138945,USD,Executive,Part-time,Canada,Small Company,Canada,Hybrid,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024-09-15,1559,8.9,DeepTech Ventures,Linux,R,NLP,PyTorch,Git
95,AI00096,NLP Engineer,98688,USD,Senior Level,Full-time,Israel,Medium Company,Israel,Hybrid,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,598,8.6,Cognitive Computing,Statistics,Python,TensorFlow,PyTorch,Git
96,AI00097,Data Analyst,109029,EUR,Senior Level,Full-time,France,Small Company,France,No Remote,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025-06-13,2049,6.1,Predictive Systems,Kubernetes,Scala,Java,Not required,Not required
97,AI00098,NLP Engineer,84797,USD,Mid-Senior Level,Full-time,Canada,Medium Company,Canada,No Remote,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2025-01-03,1909,6.2,Machine Intelligence Group,Deep Learning,Statistics,Computer Vision,TensorFlow,Mathematics
98,AI00099,Machine Learning Researcher,290199,USD,Executive,Contract,Switzerland,Large Company,Denmark,Hybrid,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-01-12,2025-03-07,1137,5.6,Smart Analytics,Python,AWS,Kubernetes,Deep Learning,Not required
99,AI00100,AI Research Scientist,195691,USD,Senior Level,Contract,United States,Large Company,United States,No Remote,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024-06-22,916,8.7,Advanced Robotics,AWS,Kubernetes,Docker,Mathematics,MLOps
100,AI00101,AI Product Manager,193448,USD,Senior Level,Full-time,Norway,Large Company,Norway,Full Remote,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025-03-11,579,6.6,Cognitive Computing,Scala,Git,Java,Not required,Not required
101,AI00102,AI Product Manager,138466,USD,Executive,Part-time,Israel,Large Company,Israel,Full Remote,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024-04-04,1690,9.5,Smart Analytics,Azure,AWS,PyTorch,GCP,Hadoop
